28,172,1,1,1,1200
28,172,1,1,1,1400
28,176,2,1,1,1600
28,177,2,1,1,1200
28,182,3,2,2,1600
29,172,1,1,1,1600
29,172,1,1,1,1800
29,177,2,1,1,1400
29,177,2,1,1,1600
29,182,3,2,2,1600
30,173,1,1,1,1200
30,173,1,1,1,1400
30,178,2,1,1,1200
30,178,2,1,1,1400
30,183,3,2,2,1600
31,173,1,1,1,1600
31,173,1,1,1,1800
31,178,2,1,1,1600
31,179,2,1,1,1200
31,183,3,2,2,1600
32,174,1,1,1,1200
32,174,1,1,1,1400
32,179,2,1,1,1400
32,179,2,1,1,1600
32,184,3,2,2,1600
33,174,1,1,1,1600
33,175,1,1,1,1200
33,180,2,1,1,1200
33,180,2,1,1,1400
33,184,3,2,2,1600
34,175,1,1,1,1400
34,175,1,1,1,1600
34,180,2,1,1,1600
34,181,2,1,1,1200
34,185,3,2,2,1600
35,176,1,1,1,1200
35,176,1,1,1,1400
35,181,2,1,1,1400
35,181,2,1,1,1600
35,185,3,2,2,1600
37,186,1,1,1,1900
38,186,1,1,1,2045
39,187,1,1,1,1900
40,187,1,1,1,2045
41,188,1,1,1,1900
42,188,1,1,1,2045
43,189,1,1,1,1900
44,189,1,1,1,2045
46,193,1,1,1,1900
47,193,1,1,1,2045
48,194,1,1,1,1900
49,194,1,1,1,2045
51,198,1,1,1,2045
52,199,1,1,1,2045
54,202,1,1,1,2045
56,203,1,1,1,2045
69,250,1,10,10,1945
69,251,1,10,10,1800
69,254,2,20,20,1945
69,285,3,10,10,1945
69,286,3,10,10,1800
69,289,4,20,20,1945
69,320,5,10,10,1945
69,321,5,10,10,1800
69,324,6,20,20,1945
69,451,7,20,20,1945
69,454,8,10,10,1800
69,455,8,10,10,1945
69,614,9,10,10,1945
69,615,9,10,10,1945
69,618,10,20,20,1945
78,174,1,1,1,1800
78,174,1,1,1,2045
78,178,2,1,1,1800
78,178,2,1,1,2045
78,182,3,2,2,2045
79,175,1,1,1,1900
79,175,1,1,1,2145
79,179,2,1,1,1900
79,179,2,1,1,2145
79,183,3,2,2,2145
80,176,1,1,1,1800
80,176,1,1,1,2045
80,180,2,1,1,1800
80,180,2,1,1,2045
80,184,3,2,2,2045
81,177,1,1,1,1900
81,177,1,1,1,2145
81,181,2,1,1,1900
81,181,2,1,1,2145
81,185,3,2,2,2145
83,186,1,1,1,2045
84,187,1,1,1,2045
85,188,1,1,1,2145
86,189,1,1,1,2145
88,192,1,1,1,2145
89,193,1,1,1,2045
91,196,1,1,1,2145
103,250,1,10,10,1945
103,251,1,10,10,1800
103,254,2,20,20,1945
103,285,3,10,10,1945
103,286,3,10,10,1800
103,289,4,20,20,1945
103,320,5,10,10,1945
103,321,5,10,10,1800
103,324,6,20,20,1945
103,451,7,20,20,1945
103,454,8,10,10,1800
103,455,8,10,10,1945
103,615,9,20,20,1800
103,618,10,20,20,1945
106,227,1,1,1,2000
125,219,1,5,5,2000
125,220,1,5,5,2000
125,226,2,10,10,2000
141,233,1,3,3,2000
141,234,1,3,3,2000
141,240,2,3,3,2000
141,241,2,3,3,2000
157,261,1,1,1,1755
157,261,1,1,1,2000
157,276,2,1,1,1755
157,276,2,1,1,2000
157,297,3,2,2,2000
157,310,4,2,2,2000
157,332,5,2,2,2000
157,345,6,2,2,2000
158,261,1,2,2,2000
158,276,2,2,2,2000
158,297,3,1,1,1755
158,297,3,1,1,2000
158,310,4,1,1,1755
158,310,4,1,1,2000
158,332,5,2,2,2000
158,345,6,2,2,2000
159,261,1,1,1,1755
159,261,1,1,1,2000
159,276,2,2,2,2000
159,297,3,1,1,1755
159,297,3,1,1,2000
159,310,4,2,2,2000
159,332,5,1,1,1755
159,332,5,1,1,2000
159,345,6,2,2,2000
160,261,1,2,2,2000
160,276,2,1,1,1755
160,276,2,1,1,2000
160,297,3,2,2,2000
160,310,4,1,1,1755
160,310,4,1,1,2000
160,332,5,1,1,1755
160,332,5,1,1,2000
160,345,6,2,2,2000
161,262,1,1,1,1755
161,262,1,1,1,2000
161,275,2,1,1,1755
161,275,2,1,1,2000
161,296,3,2,2,2000
161,311,4,2,2,2000
161,331,5,2,2,2000
161,346,6,2,2,2000
162,262,1,2,2,2000
162,275,2,2,2,2000
162,296,3,1,1,1755
162,296,3,1,1,2000
162,311,4,1,1,1755
162,311,4,1,1,2000
162,331,5,2,2,2000
162,346,6,2,2,2000
163,262,1,1,1,1755
163,262,1,1,1,2000
163,275,2,2,2,2000
163,296,3,1,1,1755
163,296,3,1,1,2000
163,311,4,2,2,2000
163,331,5,1,1,1755
163,331,5,1,1,2000
163,346,6,2,2,2000
164,262,1,2,2,2000
164,275,2,1,1,1755
164,275,2,1,1,2000
164,296,3,2,2,2000
164,311,4,1,1,1755
164,311,4,1,1,2000
164,331,5,1,1,1755
164,331,5,1,1,2000
164,346,6,2,2,2000
170,415,1,1,1,2000
