1,0,1335
1,1,1325
1,2,1318
1,3,1363
1,4,1357
1,5,1377
1,6,-1
1,7,-1
58,0,-1
58,1,-1
58,2,-1
58,3,-1
58,4,-1
58,5,-1
58,6,-1
58,7,-1
58,8,-1
58,9,-1
58,10,-1
58,11,-1
58,12,-1
58,13,-1
58,14,-1
58,15,-1
58,16,-1
58,17,-1
71,0,1354
71,1,1335
92,0,-1
92,1,-1
92,2,-1
92,3,-1
92,4,-1
92,5,-1
92,6,-1
92,7,-1
92,8,-1
92,9,-1
92,10,-1
92,11,-1
92,12,-1
92,13,-1
92,14,-1
92,15,-1
108,0,9
192,0,5
192,1,1
301,0,191
301,1,254
317,0,191
317,1,252
317,2,111822
317,3,256
317,4,209
317,5,112075
323,0,209
330,0,674
330,1,682
352,0,673
352,1,231
352,2,232
352,3,230
352,4,674
352,5,229
359,0,674
366,0,1516
366,1,269
384,0,819
384,1,1516
384,2,1445
384,3,269
384,4,272
384,5,1788
391,0,269
404,0,10
404,1,1795
600,0,10
794,0,10
794,1,9
794,2,5
794,3,18
794,4,1
794,5,11
794,6,110
794,7,7
794,8,95
834,0,74
834,1,73
893,0,76
952,0,73
952,1,65
952,2,66
952,3,1819
952,4,219
952,5,70
952,6,72
952,7,379
952,8,224
952,9,74
952,10,76
968,0,21
968,1,112172
1034,0,21
1034,1,22
1034,2,112172
1034,3,32
1034,4,23
1034,5,175
1034,6,1824
1034,7,38
1034,8,10029
1059,0,837
1059,1,422
1083,0,837
1083,1,422
1083,2,306
1083,3,753
1083,4,423
1083,5,305
1083,6,563
1090,0,46
1090,1,39
1142,0,114153
1142,1,48
1142,2,39
1142,3,44
1142,4,47
1142,5,52
1142,6,54
1142,7,46
1142,8,1837
1160,0,245
1160,1,1907
1185,0,245
1185,1,247
1185,2,246
1185,3,1906
1185,4,1909
1185,5,1903
1185,6,100634
1185,7,1915
1185,8,650
1185,9,1907
1189,0,298
1189,1,922
1211,0,298
1211,1,417
1211,2,919
1211,3,1463
1211,4,113459
1215,0,111091
1215,1,110745
1237,0,111086
1237,1,1871
1237,2,111091
1237,3,110747
1237,4,110745
1244,0,237
1244,1,236
1266,0,234
1266,1,236
1266,2,237
1266,3,1896
1266,4,1887
1266,5,1900
1266,6,744
1266,7,1898
1266,8,1889
1266,9,1438
1270,0,113180
1270,1,112847
1291,0,114385
1291,1,100761
1291,2,113180
1291,3,308
1291,4,112847
1298,0,78
1298,1,80
1326,0,78
1326,1,86
1326,2,82
1326,3,77
1326,4,81
1326,5,80
1341,0,461
1341,1,241
1441,0,241
1441,1,240
1441,2,243
1441,3,461
1441,4,1860
1441,5,481
1441,6,452
1441,7,448
1441,8,457
1456,0,711
1456,1,112171
1474,0,433
1474,1,702
1474,2,320
1474,3,708
1474,4,711
1474,5,113173
1478,0,896
1478,1,1715
1494,0,900
1494,1,896
1494,2,10032
1494,3,1715
1494,4,897
1494,5,898
1494,6,894
1494,7,110770
1494,8,435
1498,0,325
1498,1,101014
1498,2,327
1498,3,436
1498,4,113259
1498,5,326
1498,6,741
1498,7,101033
1498,8,113142
1498,9,101020
1501,0,325
1501,1,113259
1527,0,1386
1593,0,1879
1610,0,1970
1628,0,-1
1628,1,-1
1628,2,-1
1631,0,1415
1636,0,101147
1658,0,111400
1658,1,111399
1658,2,111397
1674,0,1477
1674,1,111588
1674,2,1473
1674,3,1474
1681,0,112139
1681,1,605
1681,2,112393
1681,3,112387
1681,4,111674
1681,5,112389
1681,6,112408
1681,7,112392
1708,0,111730
1708,1,113157
1708,2,101147
1708,3,112444
1708,4,111575
1708,5,101150
1708,6,101148
1708,7,101149
1708,8,112093
1708,9,101146
1708,10,112836
1708,11,101151
1708,12,113161
1708,13,113160
1708,14,112092
1708,15,101144
1708,16,113158
1708,17,113183
1712,0,112540
1712,1,111839
1712,2,111724
1712,3,111768
1716,0,-1
1716,1,-1
1716,2,-1
1716,3,-1
1716,4,-1
1719,0,1370
1719,1,111108
1748,0,1013
1774,0,1048
1774,1,1629
1774,2,1035
1774,3,1039
1774,4,568
1778,0,101085
1778,1,111710
1778,2,111708
1778,3,101088
1778,4,110093
1782,0,110975
1782,1,112534
1782,2,112533
1782,3,112535
1782,4,110977
1786,0,111722
1799,0,101103
1813,0,1395
