3,0
3,1
3,2
3,3
4,0
4,1
4,2
5,0
5,1
5,2
6,0
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
7,0
7,1
7,2
7,3
7,4
9,0
9,1
9,2
9,3
9,4
9,5
10,0
10,1
10,2
11,0
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
12,0
12,1
13,0
13,1
13,2
14,0
14,1
14,2
14,3
15,0
15,1
16,0
17,0
17,1
17,2
19,0
19,1
19,2
19,3
20,0
20,1
20,2
20,3
21,0
21,1
21,2
21,3
22,0
22,1
22,2
22,3
23,0
23,1
23,2
23,3
24,0
24,1
24,2
24,3
25,0
25,1
25,2
25,3
26,0
26,1
26,2
26,3
28,0
28,1
28,2
28,3
29,0
29,1
29,2
29,3
30,0
30,1
30,2
30,3
31,0
31,1
31,2
31,3
32,0
32,1
32,2
32,3
33,0
33,1
33,2
33,3
34,0
34,1
34,2
34,3
35,0
35,1
35,2
35,3
37,0
37,1
38,0
38,1
39,0
39,1
40,0
40,1
41,0
41,1
42,0
42,1
43,0
43,1
44,0
44,1
46,0
46,1
47,0
47,1
48,0
48,1
49,0
49,1
51,0
51,1
52,0
52,1
54,0
54,1
56,0
56,1
60,0
60,1
60,2
60,3
60,4
60,5
61,0
61,1
61,2
61,3
61,4
61,5
61,6
61,7
61,8
61,9
61,10
62,0
62,1
62,2
62,3
62,4
62,5
62,6
62,7
62,8
62,9
64,0
64,1
64,2
64,3
64,4
64,5
65,0
65,1
65,2
65,3
65,4
66,0
66,1
66,2
66,3
66,4
66,5
66,6
66,7
66,8
66,9
66,10
66,11
66,12
66,13
66,14
68,0
68,1
68,2
68,3
68,4
68,5
68,6
68,7
68,8
68,9
68,10
70,0
70,1
70,2
70,3
70,4
70,5
73,0
73,1
73,2
73,3
74,0
74,1
74,2
74,3
75,0
75,1
75,2
75,3
76,0
76,1
76,2
76,3
78,0
78,1
78,2
78,3
79,0
79,1
79,2
79,3
80,0
80,1
80,2
80,3
81,0
81,1
81,2
81,3
83,0
83,1
84,0
84,1
85,0
85,1
86,0
86,1
88,0
88,1
89,0
89,1
91,0
91,1
94,0
94,1
94,2
94,3
94,4
94,5
95,0
95,1
95,2
95,3
95,4
95,5
95,6
95,7
95,8
95,9
95,10
96,0
96,1
96,2
96,3
96,4
96,5
96,6
96,7
96,8
96,9
98,0
98,1
98,2
98,3
98,4
98,5
99,0
99,1
99,2
99,3
99,4
100,0
100,1
